Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"914,893,084.20",4.74,"914,893,084.20","3,769,646.00",242.70,United States,NASDAQ,USD,1.00,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"849,401,322.79",4.40,"849,401,322.79","6,062,389.00",140.11,United States,NASDAQ,USD,1.00,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"740,220,784.56",3.84,"740,220,784.56","1,743,501.00",424.56,United States,NASDAQ,USD,1.00,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"520,337,525.83",2.70,"520,337,525.83","2,342,491.00",222.13,United States,NASDAQ,USD,1.00,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"329,661,159.52",1.71,"329,661,159.52","539,791.00",610.72,United States,NASDAQ,USD,1.00,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"282,026,961.90",1.46,"282,026,961.90","1,454,122.00",193.95,United States,NASDAQ,USD,1.00,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"280,508,109.70",1.45,"280,508,109.70","710,255.00",394.94,United States,NASDAQ,USD,1.00,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"250,937,143.34",1.30,"250,937,143.34","1,094,314.00",229.31,United States,NASDAQ,USD,1.00,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"241,183,945.08",1.25,"241,183,945.08","1,234,372.00",195.39,United States,NASDAQ,USD,1.00,USD,-
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"202,491,464.99",1.05,"202,491,464.99","6,066,000.00",33.38,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,"Nov 10, 1994"
JPM,JPMORGAN CHASE & CO,Financials,Equity,"172,935,208.31",0.90,"172,935,208.31","711,287.00",243.13,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LLY,ELI LILLY,Health Care,Equity,"157,257,428.86",0.82,"157,257,428.86","199,763.00",787.22,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"147,499,101.44",0.76,"147,499,101.44","326,441.00",451.84,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
V,VISA INC CLASS A,Financials,Equity,"128,858,409.00",0.67,"128,858,409.00","412,215.00",312.60,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"119,532,338.28",0.62,"119,532,338.28","227,889.00",524.52,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"117,016,706.90",0.61,"117,016,706.90","1,094,330.00",106.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"104,481,662.80",0.54,"104,481,662.80","202,327.00",516.40,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"101,682,411.02",0.53,"101,682,411.02","109,646.00",927.37,United States,NASDAQ,USD,1.00,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"100,298,017.80",0.52,"100,298,017.80","1,092,571.00",91.80,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"95,078,121.60",0.49,"95,078,121.60","245,553.00",387.20,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"93,582,761.50",0.49,"93,582,761.50","577,315.00",162.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NFLX,NETFLIX INC,Communication,Equity,"93,002,000.00",0.48,"93,002,000.00","106,288.00",875.00,United States,NASDAQ,USD,1.00,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"84,162,237.09",0.44,"84,162,237.09","591,567.00",142.27,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"80,430,676.87",0.42,"80,430,676.87","1,740,547.00",46.21,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"77,975,047.50",0.40,"77,975,047.50","436,835.00",178.50,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
700,TENCENT HOLDINGS LTD,Communication,Equity,"77,494,899.55",0.40,"77,494,899.55","1,615,200.00",47.98,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
CRM,SALESFORCE INC,Information Technology,Equity,"77,318,388.00",0.40,"77,318,388.00","236,520.00",326.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ASML,ASML HOLDING NV,Information Technology,Equity,"74,634,865.44",0.39,"74,634,865.44","98,739.00",755.88,Netherlands,Euronext Amsterdam,USD,0.97,EUR,-
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"69,504,729.56",0.36,"69,504,729.56","799,172.00",86.97,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,7.24,DKK,-
ORCL,ORACLE CORP,Information Technology,Equity,"66,802,404.06",0.35,"66,802,404.06","409,479.00",163.14,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SAP,SAP,Information Technology,Equity,"65,104,367.25",0.34,"65,104,367.25","257,847.00",252.49,Germany,Xetra,USD,0.97,EUR,-
CVX,CHEVRON CORP,Energy,Equity,"64,284,813.00",0.33,"64,284,813.00","427,710.00",150.30,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"62,427,218.50",0.32,"62,427,218.50","625,210.00",99.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"62,048,726.19",0.32,"62,048,726.19","1,005,489.00",61.71,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WFC,WELLS FARGO,Financials,Equity,"60,244,119.07",0.31,"60,244,119.07","841,751.00",71.57,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"58,355,156.80",0.30,"58,355,156.80","985,729.00",59.20,United States,NASDAQ,USD,1.00,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"55,116,892.02",0.29,"55,116,892.02","154,074.00",357.73,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"53,787,380.68",0.28,"53,787,380.68","51,271.00","1,049.08",United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NESN,NESTLE SA,Consumer Staples,Equity,"53,178,272.78",0.28,"53,178,272.78","645,721.00",82.35,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"51,860,566.35",0.27,"51,860,566.35","174,042.00",297.98,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"51,456,105.11",0.27,"51,456,105.11","94,427.00",544.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AZN,ASTRAZENECA PLC,Health Care,Equity,"50,935,369.48",0.26,"50,935,369.48","376,797.00",135.18,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"50,491,531.00",0.26,"50,491,531.00","175,990.00",286.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"50,407,211.62",0.26,"50,407,211.62","225,859.00",223.18,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LIN,LINDE PLC,Materials,Equity,"49,483,478.15",0.26,"49,483,478.15","117,815.00",420.01,United States,NASDAQ,USD,1.00,USD,-
SHEL,SHELL PLC,Energy,Equity,"49,473,534.29",0.26,"49,473,534.29","1,538,711.00",32.15,United Kingdom,London Stock Exchange,USD,0.81,GBP,-
NOVN,NOVARTIS AG,Health Care,Equity,"49,174,457.01",0.25,"49,174,457.01","489,464.00",100.47,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
PEP,PEPSICO INC,Consumer Staples,Equity,"49,127,828.08",0.25,"49,127,828.08","335,252.00",146.54,United States,NASDAQ,USD,1.00,USD,-
DIS,WALT DISNEY,Communication,Equity,"49,022,438.08",0.25,"49,022,438.08","446,633.00",109.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"48,769,993.36",0.25,"48,769,993.36","400,279.00",121.84,United States,NASDAQ,USD,1.00,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"48,723,969.00",0.25,"48,723,969.00","426,468.00",114.25,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"48,154,185.79",0.25,"48,154,185.79","2,531,500.00",19.02,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"47,929,794.06",0.25,"47,929,794.06","88,103.00",544.02,United States,NASDAQ,USD,1.00,USD,-
GE,GE AEROSPACE,Industrials,Equity,"46,716,952.68",0.24,"46,716,952.68","270,212.00",172.89,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"46,480,084.92",0.24,"46,480,084.92","381,422.00",121.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"45,640,613.76",0.24,"45,640,613.76","78,688.00",580.02,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
